Timestamp,B_ACR_Mot.PV,B_ACR_Mot.SV,B_ACR_Mot.TV,B_ACR_Pmp.PV,B_ACR_Pmp.SV,B_ACR_Pmp.TV,B_Pres.PV,B_Temp.PV,Barometer,Temperature
2024-04-10T12:00:00Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.48053106665611267,18.375213623046875,1018.0532646179199,20.47815704345703
2024-04-10T12:00:05Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.48053106665611267,18.375213623046875,1018.0532646179199,20.47815704345703
2024-04-10T12:00:10Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.48053106665611267,18.375213623046875,1018.0532646179199,20.47815704345703
2024-04-10T12:00:15Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.48053106665611267,18.375213623046875,1018.0532646179199,20.47815704345703
2024-04-10T12:00:20Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.48053106665611267,18.375213623046875,1018.0532646179199,20.412822723388672
2024-04-10T12:00:25Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.48053106665611267,18.375213623046875,1018.0532646179199,20.412822723388672
2024-04-10T12:00:30Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.48053106665611267,18.375213623046875,1018.0532646179199,20.412822723388672
2024-04-10T12:00:35Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.48053106665611267,18.299285888671875,1018.0532646179199,20.412822723388672
2024-04-10T12:00:40Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.47750982642173767,18.299285888671875,1018.0424213409424,20.412822723388672
2024-04-10T12:00:45Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.47750982642173767,18.299285888671875,1018.0424213409424,20.412822723388672
2024-04-10T12:00:50Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.47750982642173767,18.299285888671875,1018.0424213409424,20.412822723388672
2024-04-10T12:00:55Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.47750982642173767,18.299285888671875,1018.0424213409424,20.412822723388672
2024-04-10T12:01:00Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.47750982642173767,18.299285888671875,1018.0424213409424,20.412822723388672
2024-04-10T12:01:05Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.47750982642173767,18.299285888671875,1018.0424213409424,20.412822723388672
2024-04-10T12:01:10Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.47750982642173767,18.299285888671875,1018.0424213409424,20.412822723388672
2024-04-10T12:01:15Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.47750982642173767,18.299285888671875,1018.0424213409424,20.412822723388672
2024-04-10T12:01:20Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.47750982642173767,18.299285888671875,1018.0424213409424,20.372957229614258
2024-04-10T12:01:25Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.47750982642173767,18.299285888671875,1018.0424213409424,20.372957229614258
2024-04-10T12:01:30Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.47750982642173767,18.299285888671875,1018.0424213409424,20.372957229614258
2024-04-10T12:01:35Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.47750982642173767,18.33123779296875,1018.0424213409424,20.372957229614258
2024-04-10T12:01:40Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.4785109758377075,18.33123779296875,1018.0412197113037,20.372957229614258
2024-04-10T12:01:45Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.4785109758377075,18.33123779296875,1018.0412197113037,20.372957229614258
2024-04-10T12:01:50Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.4785109758377075,18.33123779296875,1018.0412197113037,20.372957229614258
2024-04-10T12:01:55Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.4785109758377075,18.33123779296875,1018.0412197113037,20.372957229614258
2024-04-10T12:02:00Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.4785109758377075,18.33123779296875,1018.0412197113037,20.372957229614258
2024-04-10T12:02:05Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.4785109758377075,18.33123779296875,1018.0412197113037,20.372957229614258
2024-04-10T12:02:10Z,0.0005929026519879699,0.46720442175865173,18.203125,0.0009919054573401809,0.48412472009658813,18.3125,0.4785109758377075,18.33123779296875,1018.0412197113037,20.372957229614258
